12/6/19 15:00 17,500000 0 1012,000000
;
12/6/19 14:00 16,600000 0 1012,400000
;
12/6/19 13:00 14,800000 0 1012,800000
;
12/6/19 12:00 14,700000 0 1012,700000
;
